,team_abbr,team,G,W,L,passes_made,asst,secondary_asst,potential_asst
0,ATL,Atlanta Hawks,82,48,34,324.6,25.6,3.8,51.2
1,BOS,Boston Celtics,81,47,34,316.7,24.0,2.6,50.9
2,BKN,Brooklyn Nets,82,21,61,291.7,22.3,2.9,46.7
3,CHA,Charlotte Hornets,82,48,34,296.5,21.7,3.0,47.3
4,CHI,Chicago Bulls,82,42,40,307.7,22.8,3.3,46.3
5,CLE,Cleveland Cavaliers,82,57,25,296.1,22.7,3.7,44.4
6,DAL,Dallas Mavericks,82,42,40,330.0,22.1,2.9,48.0
7,DEN,Denver Nuggets,82,33,49,290.2,22.7,2.6,46.8
8,DET,Detroit Pistons,82,44,38,263.3,19.4,2.4,41.7
9,GSW,Golden State Warriors,82,73,9,323.5,28.9,4.1,54.2
10,HOU,Houston Rockets,82,41,41,287.3,22.2,2.6,46.4
11,IND,Indiana Pacers,82,45,37,303.8,21.2,2.7,48.0
12,LAC,LA Clippers,82,53,29,287.6,22.8,2.8,45.8
13,LAL,Los Angeles Lakers,82,17,65,274.0,18.0,1.7,38.7
14,MEM,Memphis Grizzlies,82,42,40,306.4,20.7,2.8,43.9
15,MIA,Miami Heat,82,48,34,297.9,20.8,2.6,43.2
16,MIL,Milwaukee Bucks,82,33,49,289.4,23.1,3.0,44.8
17,MIN,Minnesota Timberwolves,82,29,53,281.4,23.4,2.8,47.3
18,NOP,New Orleans Pelicans,82,30,52,292.5,22.2,2.2,43.1
19,NYK,New York Knicks,82,32,50,341.6,20.5,2.8,46.8
20,OKC,Oklahoma City Thunder,82,55,27,256.6,23.0,2.0,46.9
21,ORL,Orlando Magic,81,35,46,305.7,23.5,2.5,49.1
22,PHI,Philadelphia 76ers,82,10,72,329.3,21.5,2.1,47.0
23,PHX,Phoenix Suns,82,23,59,310.4,20.7,2.7,47.3
24,POR,Portland Trail Blazers,82,44,38,281.8,21.3,2.5,45.3
25,SAC,Sacramento Kings,81,33,48,283.3,24.5,2.7,50.3
26,SAS,San Antonio Spurs,82,67,15,328.6,24.5,3.9,46.0
27,TOR,Toronto Raptors,81,55,26,303.4,18.7,2.2,38.9
28,UTA,Utah Jazz,82,40,42,352.3,19.0,2.4,44.3
29,WAS,Washington Wizards,82,41,41,294.7,24.5,2.8,50.1
