,team_abbr,team,G,W,L,passes_made,asst,secondary_asst,potential_asst
0,ATL,Atlanta Hawks,81,24,57,328.7,23.7,2.5,46.2
1,BOS,Boston Celtics,79,52,27,304.0,22.5,3.0,42.7
2,BKN,Brooklyn Nets,80,27,53,327.6,23.8,2.8,47.7
3,CHA,Charlotte Hornets,82,36,46,281.5,21.6,3.1,42.0
4,CHI,Chicago Bulls,82,27,55,302.3,23.5,2.4,46.0
5,CLE,Cleveland Cavaliers,82,50,32,273.3,23.4,3.0,44.0
6,DAL,Dallas Mavericks,82,24,58,304.0,22.7,3.1,43.2
7,DEN,Denver Nuggets,82,46,36,304.2,25.1,3.1,44.2
8,DET,Detroit Pistons,82,39,43,299.0,22.8,2.5,44.5
9,GSW,Golden State Warriors,82,58,24,322.7,29.3,4.7,50.9
10,HOU,Houston Rockets,82,65,17,254.3,21.5,2.2,43.6
11,IND,Indiana Pacers,82,48,34,298.0,22.2,2.4,43.1
12,LAC,LA Clippers,82,42,40,295.9,22.3,2.9,39.3
13,LAL,Los Angeles Lakers,82,35,47,282.1,23.8,2.8,45.5
14,MEM,Memphis Grizzlies,82,22,60,322.3,21.5,3.3,42.9
15,MIA,Miami Heat,81,43,38,304.7,22.8,2.8,47.5
16,MIL,Milwaukee Bucks,81,44,37,284.6,23.2,2.9,42.8
17,MIN,Minnesota Timberwolves,82,47,35,286.7,22.7,2.5,41.2
18,NOP,New Orleans Pelicans,82,48,34,305.9,26.8,3.0,47.1
19,NYK,New York Knicks,81,28,53,320.1,23.3,3.0,45.2
20,OKC,Oklahoma City Thunder,80,48,32,254.0,21.4,2.4,43.1
21,ORL,Orlando Magic,82,25,57,292.3,23.4,2.4,46.3
22,PHI,Philadelphia 76ers,81,52,29,343.9,27.2,3.6,52.4
23,PHX,Phoenix Suns,82,21,61,292.3,21.3,2.3,44.4
24,POR,Portland Trail Blazers,82,49,33,271.0,19.5,2.2,40.1
25,SAC,Sacramento Kings,82,27,55,315.8,21.6,2.7,42.3
26,SAS,San Antonio Spurs,82,47,35,314.0,22.8,4.0,42.7
27,TOR,Toronto Raptors,82,59,23,300.0,24.3,3.3,46.3
28,UTA,Utah Jazz,82,48,34,318.8,22.4,2.9,43.2
29,WAS,Washington Wizards,82,43,39,293.0,25.2,3.2,47.4
