,team_abbr,team,G,W,L,passes_made,asst,secondary_asst,potential_asst,year
0,ATL,Atlanta Hawks,81,38,43,320.2,24.9,3.1,50.5,2013-14
1,BOS,Boston Celtics,82,25,57,297.9,21.0,2.4,45.6,2013-14
2,BKN,Brooklyn Nets,81,43,38,292.6,20.7,2.6,44.1,2013-14
3,CHA,Charlotte Bobcats,81,42,39,322.0,21.8,3.1,45.6,2013-14
4,CHI,Chicago Bulls,82,48,34,317.8,22.7,3.2,50.3,2013-14
5,CLE,Cleveland Cavaliers,82,33,49,296.9,21.2,2.3,43.6,2013-14
6,DAL,Dallas Mavericks,82,49,33,309.6,23.6,3.6,48.3,2013-14
7,DEN,Denver Nuggets,82,36,46,262.4,22.4,2.6,48.3,2013-14
8,DET,Detroit Pistons,82,29,53,259.1,20.9,2.3,43.8,2013-14
9,GSW,Golden State Warriors,81,50,31,243.8,23.3,2.8,44.7,2013-14
10,HOU,Houston Rockets,82,54,28,293.4,21.4,2.6,42.9,2013-14
11,IND,Indiana Pacers,82,56,26,299.5,20.1,2.5,43.9,2013-14
12,LAC,Los Angeles Clippers,82,57,25,304.5,24.6,4.0,49.2,2013-14
13,LAL,Los Angeles Lakers,82,27,55,306.4,24.5,3.2,50.1,2013-14
14,MEM,Memphis Grizzlies,82,50,32,308.0,21.9,3.8,46.6,2013-14
15,MIA,Miami Heat,82,54,28,292.4,22.5,4.0,45.7,2013-14
16,MIL,Milwaukee Bucks,81,15,66,320.1,21.4,2.8,45.9,2013-14
17,MIN,Minnesota Timberwolves,82,40,42,303.4,23.9,3.0,52.5,2013-14
18,NOP,New Orleans Pelicans,82,34,48,271.4,21.3,1.5,42.6,2013-14
19,NYK,New York Knicks,82,37,45,279.9,20.0,2.5,44.2,2013-14
20,OKC,Oklahoma City Thunder,82,59,23,262.3,21.9,2.2,43.9,2013-14
21,ORL,Orlando Magic,82,23,59,286.2,21.0,2.8,46.4,2013-14
22,PHI,Philadelphia 76ers,82,19,63,301.4,21.8,2.7,46.8,2013-14
23,PHX,Phoenix Suns,82,48,34,277.9,19.1,2.1,42.1,2013-14
24,POR,Portland Trail Blazers,82,54,28,295.5,23.2,3.5,48.3,2013-14
25,SAC,Sacramento Kings,81,28,53,267.0,18.8,1.6,40.6,2013-14
26,SAS,San Antonio Spurs,82,62,20,330.7,25.2,4.2,48.8,2013-14
27,TOR,Toronto Raptors,81,47,34,296.9,21.2,2.9,44.3,2013-14
28,UTA,Utah Jazz,82,25,57,319.5,20.3,2.6,46.8,2013-14
29,WAS,Washington Wizards,81,44,37,315.2,23.4,3.2,48.1,2013-14
0,ATL,Atlanta Hawks,82,60,22,324.3,25.7,3.9,50.8,2014-15
1,BOS,Boston Celtics,82,40,42,304.9,24.5,2.7,51.3,2014-15
2,BKN,Brooklyn Nets,82,38,44,273.0,20.9,2.5,44.9,2014-15
3,CHA,Charlotte Hornets,82,33,49,301.5,20.2,3.5,42.4,2014-15
4,CHI,Chicago Bulls,82,50,32,304.0,21.7,3.2,46.1,2014-15
5,CLE,Cleveland Cavaliers,81,53,28,289.4,22.2,3.2,42.8,2014-15
6,DAL,Dallas Mavericks,82,50,32,307.3,22.5,3.0,47.1,2014-15
7,DEN,Denver Nuggets,82,30,52,264.1,21.8,2.6,48.7,2014-15
8,DET,Detroit Pistons,82,32,50,272.3,21.6,2.6,44.7,2014-15
9,GSW,Golden State Warriors,82,67,15,306.6,27.4,3.4,50.4,2014-15
10,HOU,Houston Rockets,81,55,26,299.1,22.2,3.0,47.9,2014-15
11,IND,Indiana Pacers,82,38,44,311.1,21.4,3.6,48.1,2014-15
12,LAC,Los Angeles Clippers,82,56,26,294.0,24.8,4.1,48.2,2014-15
13,LAL,Los Angeles Lakers,82,21,61,270.3,20.9,1.9,43.5,2014-15
14,MEM,Memphis Grizzlies,82,55,27,309.0,21.7,3.4,46.2,2014-15
15,MIA,Miami Heat,81,36,45,304.0,19.7,2.6,44.1,2014-15
16,MIL,Milwaukee Bucks,81,40,41,287.4,23.6,3.4,48.1,2014-15
17,MIN,Minnesota Timberwolves,81,16,65,277.7,21.6,2.4,46.7,2014-15
18,NOP,New Orleans Pelicans,82,45,37,270.7,22.0,1.9,43.9,2014-15
19,NYK,New York Knicks,81,17,64,362.4,21.3,2.8,47.9,2014-15
20,OKC,Oklahoma City Thunder,82,45,37,271.0,20.5,1.9,43.0,2014-15
21,ORL,Orlando Magic,82,25,57,279.0,20.6,2.5,43.0,2014-15
22,PHI,Philadelphia 76ers,82,18,64,326.4,20.5,2.1,46.9,2014-15
23,PHX,Phoenix Suns,82,39,43,288.6,20.2,2.0,43.8,2014-15
24,POR,Portland Trail Blazers,82,51,31,287.6,21.9,3.2,47.2,2014-15
25,SAC,Sacramento Kings,82,29,53,284.0,20.3,1.9,42.1,2014-15
26,SAS,San Antonio Spurs,82,55,27,342.4,24.4,4.2,47.7,2014-15
27,TOR,Toronto Raptors,82,49,33,275.1,20.7,2.6,40.3,2014-15
28,UTA,Utah Jazz,82,38,44,364.1,19.9,2.7,46.3,2014-15
29,WAS,Washington Wizards,82,46,36,299.5,24.0,2.7,48.0,2014-15
0,ATL,Atlanta Hawks,82,48,34,324.6,25.6,3.8,51.2,2015-16
1,BOS,Boston Celtics,81,47,34,316.7,24.0,2.6,50.9,2015-16
2,BKN,Brooklyn Nets,82,21,61,291.7,22.3,2.9,46.7,2015-16
3,CHA,Charlotte Hornets,82,48,34,296.5,21.7,3.0,47.3,2015-16
4,CHI,Chicago Bulls,82,42,40,307.7,22.8,3.3,46.3,2015-16
5,CLE,Cleveland Cavaliers,82,57,25,296.1,22.7,3.7,44.4,2015-16
6,DAL,Dallas Mavericks,82,42,40,330.0,22.1,2.9,48.0,2015-16
7,DEN,Denver Nuggets,82,33,49,290.2,22.7,2.6,46.8,2015-16
8,DET,Detroit Pistons,82,44,38,263.3,19.4,2.4,41.7,2015-16
9,GSW,Golden State Warriors,82,73,9,323.5,28.9,4.1,54.2,2015-16
10,HOU,Houston Rockets,82,41,41,287.3,22.2,2.6,46.4,2015-16
11,IND,Indiana Pacers,82,45,37,303.8,21.2,2.7,48.0,2015-16
12,LAC,LA Clippers,82,53,29,287.6,22.8,2.8,45.8,2015-16
13,LAL,Los Angeles Lakers,82,17,65,274.0,18.0,1.7,38.7,2015-16
14,MEM,Memphis Grizzlies,82,42,40,306.4,20.7,2.8,43.9,2015-16
15,MIA,Miami Heat,82,48,34,297.9,20.8,2.6,43.2,2015-16
16,MIL,Milwaukee Bucks,82,33,49,289.4,23.1,3.0,44.8,2015-16
17,MIN,Minnesota Timberwolves,82,29,53,281.4,23.4,2.8,47.3,2015-16
18,NOP,New Orleans Pelicans,82,30,52,292.5,22.2,2.2,43.1,2015-16
19,NYK,New York Knicks,82,32,50,341.6,20.5,2.8,46.8,2015-16
20,OKC,Oklahoma City Thunder,82,55,27,256.6,23.0,2.0,46.9,2015-16
21,ORL,Orlando Magic,81,35,46,305.7,23.5,2.5,49.1,2015-16
22,PHI,Philadelphia 76ers,82,10,72,329.3,21.5,2.1,47.0,2015-16
23,PHX,Phoenix Suns,82,23,59,310.4,20.7,2.7,47.3,2015-16
24,POR,Portland Trail Blazers,82,44,38,281.8,21.3,2.5,45.3,2015-16
25,SAC,Sacramento Kings,81,33,48,283.3,24.5,2.7,50.3,2015-16
26,SAS,San Antonio Spurs,82,67,15,328.6,24.5,3.9,46.0,2015-16
27,TOR,Toronto Raptors,81,55,26,303.4,18.7,2.2,38.9,2015-16
28,UTA,Utah Jazz,82,40,42,352.3,19.0,2.4,44.3,2015-16
29,WAS,Washington Wizards,82,41,41,294.7,24.5,2.8,50.1,2015-16
0,ATL,Atlanta Hawks,82,43,39,310.0,23.6,3.2,46.8,2016-17
1,BOS,Boston Celtics,82,53,29,324.6,25.2,3.6,49.2,2016-17
2,BKN,Brooklyn Nets,81,20,61,311.0,21.4,2.5,45.4,2016-17
3,CHA,Charlotte Hornets,82,36,46,291.2,23.1,3.4,47.8,2016-17
4,CHI,Chicago Bulls,82,41,41,304.5,22.6,2.5,45.2,2016-17
5,CLE,Cleveland Cavaliers,82,51,31,275.3,22.7,3.4,45.1,2016-17
6,DAL,Dallas Mavericks,81,32,49,296.8,20.7,2.5,44.4,2016-17
7,DEN,Denver Nuggets,81,39,42,296.3,25.2,2.9,47.5,2016-17
8,DET,Detroit Pistons,82,37,45,278.5,21.1,2.1,43.0,2016-17
9,GSW,Golden State Warriors,82,67,15,317.7,30.4,4.6,56.3,2016-17
10,HOU,Houston Rockets,82,55,27,267.4,25.2,2.5,50.7,2016-17
11,IND,Indiana Pacers,81,42,39,286.4,22.4,2.9,47.4,2016-17
12,LAC,LA Clippers,82,51,31,301.7,22.5,2.9,43.2,2016-17
13,LAL,Los Angeles Lakers,82,26,56,288.4,20.9,2.2,42.7,2016-17
14,MEM,Memphis Grizzlies,82,43,39,303.3,21.3,3.1,46.4,2016-17
15,MIA,Miami Heat,82,41,41,283.4,21.2,2.8,45.9,2016-17
